drug,effect,cosine_similarities
['pemetrexed'],['onycholysis'],"[('pemetrexed', 'onycholysis', np.float32(0.9964739))]"
"['5-fu', '5-fluorouracil']",['cardiotoxicity'],"[('5-fu', 'cardiotoxicity', None), ('5-fluorouracil', 'cardiotoxicity', None)]"
['amiodarone'],[],"[(None, None, None)]"
['lithium'],[],"[(None, None, None)]"
['prochlorperazine'],['oro-pharyngeal dystonic reaction'],"[('prochlorperazine', 'oro-pharyngeal dystonic reaction', np.float32(0.82099164))]"
['dofetilide'],"['flash pulmonary edema', 'torsades de pointes']","[('dofetilide', 'flash pulmonary edema', np.float32(0.8316435)), ('dofetilide', 'torsades de pointes', np.float32(0.76726675))]"
[],['ischemic colitis'],"[(None, None, None)]"
[],['loperamide poisoning'],"[(None, None, None)]"
"['azathioprine', 'prednisone', 'cyclosporin']",['thrombosis'],"[('azathioprine', 'thrombosis', np.float32(0.8654166)), ('prednisone', 'thrombosis', np.float32(0.8602739)), ('cyclosporin', 'thrombosis', np.float32(0.9461656))]"
['rituximab'],['severe autoimmune hemolytic anemia'],"[('rituximab', 'severe autoimmune hemolytic anemia', np.float32(0.79457194))]"
['cyclosporin'],['cholelithiasis'],"[('cyclosporin', 'cholelithiasis', np.float32(0.9688611))]"
[],['meningitis'],"[(None, None, None)]"
[],['hemorrhagic vasculitis'],"[(None, None, None)]"
['carbimazole'],"['fever', 'thyrotoxicosis']","[('carbimazole', 'fever', np.float32(0.61900985)), ('carbimazole', 'thyrotoxicosis', np.float32(0.8008788))]"
['macrodantin'],[],"[(None, None, None)]"
[],['insomnia'],"[(None, None, None)]"
"['rfp', 'rifampin']","['thyroiditis', 'hypothyroidism']","[('rfp', 'thyroiditis', np.float32(0.8660044)), ('rfp', 'hypothyroidism', np.float32(0.91984385)), ('rifampin', 'thyroiditis', np.float32(0.87523806)), ('rifampin', 'hypothyroidism', np.float32(0.9101504))]"
[],"['hemorrhagic complications', 'thrombocytopenia']","[(None, None, None)]"
['anastrozole'],[],"[(None, None, None)]"
"['d-pen', 'corticosteroid']",[],"[(None, None, None)]"
['clofazimine'],[],"[(None, None, None)]"
"['theophylline', 'zafirlukast']",[],"[(None, None, None)]"
['itraconazole'],[],"[(None, None, None)]"
[],['myopathy'],"[(None, None, None)]"
['ptu'],['hepatitis'],"[('ptu', 'hepatitis', np.float32(0.79092395))]"
[],['akathisia'],"[(None, None, None)]"
"['clindamycin phosphate', 'clindamycin']",['cdic'],"[('clindamycin phosphate', 'cdic', np.float32(0.91423124)), ('clindamycin', 'cdic', np.float32(0.87785965))]"
['cotrimoxazole'],"['hyperkalaemia', 'unconscious']","[('cotrimoxazole', 'hyperkalaemia', np.float32(0.9197272)), ('cotrimoxazole', 'unconscious', np.float32(0.93711007))]"
['sodium polystyrene sulphonate'],['hypernatraemia'],"[('sodium polystyrene sulphonate', 'hypernatraemia', np.float32(0.9491796))]"
['methotrexate'],[],"[(None, None, None)]"
['benzodiazepine'],['spindle coma'],"[('benzodiazepine', 'spindle coma', np.float32(0.97645986))]"
['cap-xrt'],[],"[(None, None, None)]"
['linezolid'],['neuropathy'],"[('linezolid', 'neuropathy', np.float32(0.7899175))]"
['fludarabine'],['interstitial pneumonitis'],"[('fludarabine', 'interstitial pneumonitis', np.float32(0.8493764))]"
['isoniazid'],['histamine reaction'],"[('isoniazid', 'histamine reaction', np.float32(0.6702498))]"
['vancomycin'],['anaphylaxis'],"[('vancomycin', 'anaphylaxis', np.float32(0.91849494))]"
['aspirin'],['acute subdural haematoma'],"[('aspirin', 'acute subdural haematoma', np.float32(0.8382867))]"
['hydrochlorothiazide'],[],"[(None, None, None)]"
['clindamycin'],['vanishing bile duct syndrome'],"[('clindamycin', 'vanishing bile duct syndrome', np.float32(0.79899323))]"
[],['cholestatic hepatitis'],"[(None, None, None)]"
"['lisinopril', 'losartan']",['acute renal failure'],"[('lisinopril', 'acute renal failure', np.float32(0.68039536)), ('losartan', 'acute renal failure', np.float32(0.7172765))]"
['morphine'],['nonconvulsive status epilepticus'],"[('morphine', 'nonconvulsive status epilepticus', np.float32(0.90417874))]"
"['ara-c', 'cytarabine']",['herpesvirus infection'],"[('ara-c', 'herpesvirus infection', None), ('cytarabine', 'herpesvirus infection', np.float32(0.8247405))]"
['haloperidol'],['withdrawal emergent syndrome'],"[('haloperidol', 'withdrawal emergent syndrome', np.float32(0.84554696))]"
['benzarone'],"['cirrhosis', 'hepatotoxicity']","[('benzarone', 'cirrhosis', np.float32(0.9741784)), ('benzarone', 'hepatotoxicity', np.float32(0.9699912))]"
['celiprolol'],['hypersensitivity pneumonitis'],"[('celiprolol', 'hypersensitivity pneumonitis', np.float32(0.70569146))]"
"['etanercept', 'insulin']",['hypoglycemia'],"[('etanercept', 'hypoglycemia', np.float32(0.8261307)), ('insulin', 'hypoglycemia', np.float32(0.90015125))]"
['dapsone'],[],"[(None, None, None)]"
['bevacizumab'],['visual hallucinations'],"[('bevacizumab', 'visual hallucinations', np.float32(0.8848858))]"
['pancreatin'],[],"[(None, None, None)]"
"['aminotriazole', 'bromocil']",['generalized cutaneous sclerosis'],"[('aminotriazole', 'generalized cutaneous sclerosis', np.float32(0.8022007)), ('bromocil', 'generalized cutaneous sclerosis', np.float32(0.8391032))]"
"['ifn-alpha', 'interferon-alpha']",['autoimmune thyroid disease'],"[('ifn-alpha', 'autoimmune thyroid disease', None), ('interferon-alpha', 'autoimmune thyroid disease', None)]"
[],['rhabdomyolysis'],"[(None, None, None)]"
['t-pa'],"['cholesterol crystal embolization', 'renal failure']","[('t-pa', 'cholesterol crystal embolization', None), ('t-pa', 'renal failure', None)]"
['l-asparaginase'],['acute pancreatitis'],"[('l-asparaginase', 'acute pancreatitis', None)]"
['octreotide'],[],"[(None, None, None)]"
['sasp'],[],"[(None, None, None)]"
['isotretinoin'],['teratogenicity'],"[('isotretinoin', 'teratogenicity', np.float32(0.93350327))]"
['gabapentin'],[],"[(None, None, None)]"
['sunitinib'],[],"[(None, None, None)]"
['5-fluorouracil'],['haemolytic-uraemic syndrome'],"[('5-fluorouracil', 'haemolytic-uraemic syndrome', None)]"
['fluoxetine'],['death'],"[('fluoxetine', 'death', np.float32(0.8767764))]"
[],[],"[(None, None, None)]"
['calcium hopantenate'],['reye-like syndrome'],"[('calcium hopantenate', 'reye-like syndrome', np.float32(0.55022514))]"
['aspirin'],['hypersensitivity'],"[('aspirin', 'hypersensitivity', np.float32(0.7443527))]"
[],['meningitis'],"[(None, None, None)]"
"['prednisolone', 'azathioprine']",[],"[(None, None, None)]"
['ono-1078'],['acute interstitial pneumonia'],"[('ono-1078', 'acute interstitial pneumonia', np.float32(0.78410673))]"
['mtx'],[],"[(None, None, None)]"
"['imipenem', 'cilastatin']","['seizure', 'convulsions']","[('imipenem', 'seizure', np.float32(0.88792795)), ('imipenem', 'convulsions', np.float32(0.97980505)), ('cilastatin', 'seizure', np.float32(0.882522)), ('cilastatin', 'convulsions', np.float32(0.9837081))]"
['ptu'],[],"[(None, None, None)]"
[],['insomnia'],"[(None, None, None)]"
"['actinomycin-d', 'adriamycin', 'mithramycin']",['cardiomyopathy'],"[('actinomycin-d', 'cardiomyopathy', None), ('adriamycin', 'cardiomyopathy', np.float32(0.9298758)), ('mithramycin', 'cardiomyopathy', np.float32(0.88040406))]"
"['amantadine', 'levodopa']",['dyskinesia'],"[('amantadine', 'dyskinesia', np.float32(0.83439386)), ('levodopa', 'dyskinesia', np.float32(0.9162791))]"
['carbamazepine'],['hyponatraemia'],"[('carbamazepine', 'hyponatraemia', np.float32(0.7325829))]"
['vancomycin'],[],"[(None, None, None)]"
"['cisplatinum', 'vinblastine', 'bleomycin']",[],"[(None, None, None)]"
['clozapine'],['polyserositis'],"[('clozapine', 'polyserositis', np.float32(0.6396992))]"
[],['parkinsonism'],"[(None, None, None)]"
['bcnu'],['fatal pulmonary fibrosis'],"[('bcnu', 'fatal pulmonary fibrosis', np.float32(0.8189245))]"
['zomepirac'],['anaphylactoid reaction'],"[('zomepirac', 'anaphylactoid reaction', np.float32(0.74176544))]"
['ifosfamide'],[],"[(None, None, None)]"
"['ciprofloxacin', 'beta-lactam']",['prolonged ect seizure'],"[('ciprofloxacin', 'prolonged ect seizure', np.float32(0.9016073)), ('beta-lactam', 'prolonged ect seizure', None)]"
['interferon alpha'],[],"[(None, None, None)]"
['finasteride'],['anterior subcapsular opacity'],"[('finasteride', 'anterior subcapsular opacity', np.float32(0.9879054))]"
['thalidomide'],['neuropathy'],"[('thalidomide', 'neuropathy', np.float32(0.8114055))]"
['hydroxyurea'],['painful hand ulcer'],"[('hydroxyurea', 'painful hand ulcer', np.float32(0.9488209))]"
['simvastatin'],[],"[(None, None, None)]"
['interferon alfa'],['ischemic optic neuropathy'],"[('interferon alfa', 'ischemic optic neuropathy', np.float32(0.7861909))]"
"['clarithromycin', 'carbamazepine']",[],"[(None, None, None)]"
['methylprednisolone'],[],"[(None, None, None)]"
['propylthiouracil'],[],"[(None, None, None)]"
['vincristine'],['neurotoxicity'],"[('vincristine', 'neurotoxicity', np.float32(0.8174041))]"
['phenytoin'],[],"[(None, None, None)]"
[],"['vasculitis', 'ototoxicity']","[(None, None, None)]"
['minocycline'],[],"[(None, None, None)]"
"['fluvoxamine maleate', 'milnacipran hydrochloride']",['piloerection'],"[('fluvoxamine maleate', 'piloerection', np.float32(0.9904803)), ('milnacipran hydrochloride', 'piloerection', np.float32(0.98593146))]"
['glatiramer acetate'],[],"[(None, None, None)]"
['hydroxychloroquine'],['visual field loss'],"[('hydroxychloroquine', 'visual field loss', np.float32(0.95002085))]"
"['venlafaxine', 'sertraline', 'metoclopramide']","['serotonin syndrome', 'extrapyramidal reactions']","[('venlafaxine', 'serotonin syndrome', np.float32(0.59972674)), ('venlafaxine', 'extrapyramidal reactions', np.float32(0.77624696)), ('sertraline', 'serotonin syndrome', np.float32(0.48957255)), ('sertraline', 'extrapyramidal reactions', np.float32(0.6519511)), ('metoclopramide', 'serotonin syndrome', np.float32(0.61013204)), ('metoclopramide', 'extrapyramidal reactions', np.float32(0.73278))]"
['l-asparaginase'],"['transient ischemic attacks', 'seizure']","[('l-asparaginase', 'transient ischemic attacks', None), ('l-asparaginase', 'seizure', None)]"
['clindamycin'],[],"[(None, None, None)]"
['methanol'],['putaminal infarct'],"[('methanol', 'putaminal infarct', np.float32(0.9148968))]"
['clomiphene citrate'],['bilateral anterior uveitis'],"[('clomiphene citrate', 'bilateral anterior uveitis', np.float32(0.91454095))]"
['aspirin'],"['hemorrhage', 'meningioma']","[('aspirin', 'hemorrhage', np.float32(0.9526276)), ('aspirin', 'meningioma', np.float32(0.97945756))]"
['metronidazole'],[],"[(None, None, None)]"
['phenobarbital'],['host-like illness'],"[('phenobarbital', 'host-like illness', np.float32(0.9495129))]"
['adalimumab'],['fulminant cardiomyopathy'],"[('adalimumab', 'fulminant cardiomyopathy', np.float32(0.8526759))]"
['miconazole'],['anaphylactic reactions'],"[('miconazole', 'anaphylactic reactions', np.float32(0.8048586))]"
['citalopram'],[],"[(None, None, None)]"
[],[],"[(None, None, None)]"
['infliximab'],['osteomyelitis'],"[('infliximab', 'osteomyelitis', np.float32(0.8952601))]"
"['vinblastine', 'bleomycin']",['gangrene'],"[('vinblastine', 'gangrene', np.float32(0.8963731)), ('bleomycin', 'gangrene', np.float32(0.9306828))]"
['ofloxacin'],['seizures'],"[('ofloxacin', 'seizures', np.float32(0.8884473))]"
"['cisplatin', 'etoposide']",['paroxysmal supraventricular tachycardia'],"[('cisplatin', 'paroxysmal supraventricular tachycardia', np.float32(0.63855815)), ('etoposide', 'paroxysmal supraventricular tachycardia', np.float32(0.8455761))]"
['cefazolin'],['leukopenia'],"[('cefazolin', 'leukopenia', np.float32(0.6896004))]"
['lithium carbonate'],['tremor'],"[('lithium carbonate', 'tremor', np.float32(0.91412693))]"
"['pyrimethamine', 'sulfadiazine']",[],"[(None, None, None)]"
['ergotamine'],"['fatal stroke', 'arterial spasm']","[('ergotamine', 'fatal stroke', np.float32(0.79870397)), ('ergotamine', 'arterial spasm', np.float32(0.98130536))]"
"['ntx', 'heroin', 'naltrexone']",['hepatotoxicity'],"[('ntx', 'hepatotoxicity', np.float32(0.8575082)), ('heroin', 'hepatotoxicity', np.float32(0.847744)), ('naltrexone', 'hepatotoxicity', np.float32(0.8544794))]"
['procainamide'],[],"[(None, None, None)]"
['phenytoin'],[],"[(None, None, None)]"
['penicillamine'],[],"[(None, None, None)]"
"['imipenem', 'cilastatin']","['seizure', 'convulsions']","[('imipenem', 'seizure', np.float32(0.88792795)), ('imipenem', 'convulsions', np.float32(0.97980505)), ('cilastatin', 'seizure', np.float32(0.882522)), ('cilastatin', 'convulsions', np.float32(0.9837081))]"
['taxol'],[],"[(None, None, None)]"
[],[],"[(None, None, None)]"
['phenytoin'],['seizures'],"[('phenytoin', 'seizures', np.float32(0.88253087))]"
['warfarin'],['haematoma'],"[('warfarin', 'haematoma', np.float32(0.9380855))]"
['interferon beta-1a'],['seizures'],"[('interferon beta-1a', 'seizures', np.float32(0.76897013))]"
['alendronate'],['nodular scleritis'],"[('alendronate', 'nodular scleritis', np.float32(0.9556795))]"
['cetrimide-chlorhexidine'],['metabolic acidosis'],"[('cetrimide-chlorhexidine', 'metabolic acidosis', None)]"
['methylprednisolone'],['hepatotoxicity'],"[('methylprednisolone', 'hepatotoxicity', np.float32(0.8258794))]"
['olanzapine'],[],"[(None, None, None)]"
['diphenylhydantoin'],[],"[(None, None, None)]"
['sulphasalazine'],['psoriasis-like skin reaction'],"[('sulphasalazine', 'psoriasis-like skin reaction', np.float32(0.7276926))]"
"['lithium', 'olanzapine']",[],"[(None, None, None)]"
['methotrexate'],['anaphylactoid reaction'],"[('methotrexate', 'anaphylactoid reaction', np.float32(0.4487079))]"
['desmopressin'],"['seizures', 'hyponatremia']","[('desmopressin', 'seizures', np.float32(0.89840794)), ('desmopressin', 'hyponatremia', np.float32(0.9143918))]"
[],['diabetes mellitus'],"[(None, None, None)]"
"['metronidazole', 'sulphonamide']",['myopia'],"[('metronidazole', 'myopia', np.float32(0.94398713)), ('sulphonamide', 'myopia', np.float32(0.9763271))]"
[],['ocular ethambutol toxicity'],"[(None, None, None)]"
['fluoxetine'],['akathisia'],"[('fluoxetine', 'akathisia', np.float32(0.9607982))]"
['interferon alpha 2a'],['vitiligo'],"[('interferon alpha 2a', 'vitiligo', np.float32(0.69298226))]"
['hyaluronate'],['septic knee arthritis'],"[('hyaluronate', 'septic knee arthritis', np.float32(0.9166993))]"
['clofazimine'],['severe enteropathy'],"[('clofazimine', 'severe enteropathy', np.float32(0.8640414))]"
['methotrexate'],['leukoencephalopathy'],"[('methotrexate', 'leukoencephalopathy', np.float32(0.736904))]"
"['calcium hydroxylapatite', 'periurethral']",['massive prolapse of the urethral mucosa'],"[('calcium hydroxylapatite', 'massive prolapse of the urethral mucosa', np.float32(0.93129396)), ('periurethral', 'massive prolapse of the urethral mucosa', np.float32(0.93811923))]"
"['glatiramer acetate', 'copaxone']",['localized panniculitis'],"[('glatiramer acetate', 'localized panniculitis', np.float32(0.95940924)), ('copaxone', 'localized panniculitis', np.float32(0.9621037))]"
['l-thyroxine'],['myocardial infarction'],"[('l-thyroxine', 'myocardial infarction', None)]"
[],"['vasculitis', 'ototoxicity']","[(None, None, None)]"
['praziquantel'],['myositis'],"[('praziquantel', 'myositis', np.float32(0.96024716))]"
['prostaglandin-e2'],['bone formation'],"[('prostaglandin-e2', 'bone formation', None)]"
['methylprednisolone'],[],"[(None, None, None)]"
['methotrexate'],[],"[(None, None, None)]"
['ceftriaxone'],['hepato-biliary abnormalities'],"[('ceftriaxone', 'hepato-biliary abnormalities', np.float32(0.94048387))]"
"['haloperidol', 'lithium']",['irreversible tardive dyskinesia'],"[('haloperidol', 'irreversible tardive dyskinesia', np.float32(0.939699)), ('lithium', 'irreversible tardive dyskinesia', np.float32(0.79168326))]"
['lamotrigine'],['localized purpura'],"[('lamotrigine', 'localized purpura', np.float32(0.8175594))]"
['d-penicillamine'],['hemoptysis'],"[('d-penicillamine', 'hemoptysis', None)]"
"['lamivudine', 'stavudine']",['lactic acidosis'],"[('lamivudine', 'lactic acidosis', np.float32(0.8466021)), ('stavudine', 'lactic acidosis', np.float32(0.8819979))]"
['phenytoin'],[],"[(None, None, None)]"
"['sertraline', 'fluoxetine']",['extrapyramidal side effects'],"[('sertraline', 'extrapyramidal side effects', np.float32(0.71589714)), ('fluoxetine', 'extrapyramidal side effects', np.float32(0.81850296))]"
['cyclophosphamide'],['progressive pulmonary fibrosis'],"[('cyclophosphamide', 'progressive pulmonary fibrosis', np.float32(0.8206902))]"
['indomethacin'],['ductal closure'],"[('indomethacin', 'ductal closure', np.float32(0.9840237))]"
[],['anemia'],"[(None, None, None)]"
['homochlorcyclizine hydrochloride'],['dyspnea'],"[('homochlorcyclizine hydrochloride', 'dyspnea', np.float32(0.8063718))]"
['gemcitabine'],['recall pneumonitis'],"[('gemcitabine', 'recall pneumonitis', np.float32(0.97225654))]"
['argatroban'],[],"[(None, None, None)]"
['methamphetamine'],['keratitis'],"[('methamphetamine', 'keratitis', np.float32(0.96580243))]"
['infliximab'],[],"[(None, None, None)]"
['isotretinoin'],[],"[(None, None, None)]"
"['pegvisomant', 'somatostatin']",['hepatitis'],"[('pegvisomant', 'hepatitis', np.float32(0.5993382)), ('somatostatin', 'hepatitis', np.float32(0.5931135))]"
['carbamazepine'],[],"[(None, None, None)]"
[],['pseudolymphoma'],"[(None, None, None)]"
['deanol'],['tardive dyskinesia'],"[('deanol', 'tardive dyskinesia', np.float32(0.9254892))]"
[],['submassive hepatic necrosis'],"[(None, None, None)]"
['nimodipine'],['ileus'],"[('nimodipine', 'ileus', np.float32(0.8964942))]"
[],"['lupus', 'nephrotic syndrome']","[(None, None, None)]"
['isoniazid'],['breast tissue enlargement'],"[('isoniazid', 'breast tissue enlargement', np.float32(0.95275366))]"
['fluticasone propionate'],[],"[(None, None, None)]"
"['colchicine', 'collagenase']",[],"[(None, None, None)]"
['methotrexate'],['pneumocystis'],"[('methotrexate', 'pneumocystis', np.float32(0.451023))]"
['fluoxetine'],['sexual dysfunction'],"[('fluoxetine', 'sexual dysfunction', np.float32(0.84491587))]"
[],[],"[(None, None, None)]"
['cisplatin'],[],"[(None, None, None)]"
"['methotrexate', 'mtx']",['subacute encephalopathy'],"[('methotrexate', 'subacute encephalopathy', np.float32(0.69348216)), ('mtx', 'subacute encephalopathy', np.float32(0.75545603))]"
['flutamide'],['flutamide withdrawal syndrome'],"[('flutamide', 'flutamide withdrawal syndrome', np.float32(0.8861807))]"
['acetazolamide'],['renal failure'],"[('acetazolamide', 'renal failure', np.float32(0.80711085))]"
['prazosin'],['severe drop in blood pressure'],"[('prazosin', 'severe drop in blood pressure', np.float32(0.94053173))]"
['fk506'],['mutism'],"[('fk506', 'mutism', np.float32(0.9725619))]"
['fk506'],['mutism'],"[('fk506', 'mutism', np.float32(0.9725619))]"
[],['lithium toxicity'],"[(None, None, None)]"
['amifostine'],[],"[(None, None, None)]"
['cyclofenil'],[],"[(None, None, None)]"
['sulfasalazine'],['pulmonary symptomatology'],"[('sulfasalazine', 'pulmonary symptomatology', np.float32(0.7984648))]"
['teicoplanin'],['neutropenia'],"[('teicoplanin', 'neutropenia', np.float32(0.9382025))]"
['dimethyl sulfoxide'],['eosinophilic cystitis'],"[('dimethyl sulfoxide', 'eosinophilic cystitis', np.float32(0.80196244))]"
['cocaine'],['hypertension'],"[('cocaine', 'hypertension', np.float32(0.87625223))]"
['nimesulide'],[],"[(None, None, None)]"
['budesonide'],[],"[(None, None, None)]"
['heparin'],['massive ivc thrombosis'],"[('heparin', 'massive ivc thrombosis', np.float32(0.8895871))]"
['botulinum toxin type b'],"['visual system side effects', 'parasympathetic dysfunction']","[('botulinum toxin type b', 'visual system side effects', np.float32(0.75488704)), ('botulinum toxin type b', 'parasympathetic dysfunction', np.float32(0.90317214))]"
[],['pulmonary toxicity'],"[(None, None, None)]"
[],[],"[(None, None, None)]"
[],['toxic epidermal necrolysis'],"[(None, None, None)]"
[],['rhabdomyolysis'],"[(None, None, None)]"
['warfarin'],['sub-conjunctival haematoma'],"[('warfarin', 'sub-conjunctival haematoma', np.float32(0.9380855))]"
[],['hemolytic anemia'],"[(None, None, None)]"
['cisplatin'],[],"[(None, None, None)]"
['heparin'],['thrombocytopenia'],"[('heparin', 'thrombocytopenia', np.float32(0.9393144))]"
['desferrioxamine'],['unilateral hearing loss'],"[('desferrioxamine', 'unilateral hearing loss', np.float32(0.95174044))]"
['mianserin'],['akathisia'],"[('mianserin', 'akathisia', np.float32(0.9195705))]"
['digoxin-immune fab'],['fatal digoxin poisoning'],"[('digoxin-immune fab', 'fatal digoxin poisoning', np.float32(0.9461979))]"
['bleomycin'],['hyperpigmentation'],"[('bleomycin', 'hyperpigmentation', np.float32(0.8033966))]"
[],['hypersensitivity syndrome'],"[(None, None, None)]"
['clozapine'],['polyserositis'],"[('clozapine', 'polyserositis', np.float32(0.6396992))]"
['indinavir'],"['papillary necrosis', 'nephrolithiasis']","[('indinavir', 'papillary necrosis', np.float32(0.8614271)), ('indinavir', 'nephrolithiasis', np.float32(0.9865783))]"
['vasopressin'],['severe skin necrosis'],"[('vasopressin', 'severe skin necrosis', np.float32(0.78505766))]"
['pas'],"['pas', 'hypoglycaemia']","[('pas', 'pas', np.float32(1.0)), ('pas', 'hypoglycaemia', np.float32(0.98543507))]"
['paclitaxel'],['hypersensitivity'],"[('paclitaxel', 'hypersensitivity', np.float32(0.7118771))]"
['mefloquine'],[],"[(None, None, None)]"
['vancomycin'],['anaphylaxis'],"[('vancomycin', 'anaphylaxis', np.float32(0.91849494))]"
[],['ductopenia'],"[(None, None, None)]"
['troglitazone'],['hepatotoxicity'],"[('troglitazone', 'hepatotoxicity', np.float32(0.90277827))]"
['d-penicillamine'],['crescentic glomerulonephritis'],"[('d-penicillamine', 'crescentic glomerulonephritis', None)]"
['hydroxyurea'],['diffuse nail hyperpigmentation'],"[('hydroxyurea', 'diffuse nail hyperpigmentation', np.float32(0.93117505))]"
"['taxanes', 'paclitaxel']",['pneumonitis'],"[('taxanes', 'pneumonitis', np.float32(0.7782367)), ('paclitaxel', 'pneumonitis', np.float32(0.85882574))]"
['etoposide'],['t-aml'],"[('etoposide', 't-aml', None)]"
['phenytoin'],[],"[(None, None, None)]"
[],['fever'],"[(None, None, None)]"
"['oxybutynin', 'dantrolene']",['carbamazepine intoxication'],"[('oxybutynin', 'carbamazepine intoxication', np.float32(0.9258536)), ('dantrolene', 'carbamazepine intoxication', np.float32(0.91186625))]"
"['carbamazepine', 'cbz']",['tics'],"[('carbamazepine', 'tics', np.float32(0.7019813)), ('cbz', 'tics', np.float32(0.792017))]"
['cyclophosphamide'],[],"[(None, None, None)]"
['nevirapine'],['fulminant hepatitis'],"[('nevirapine', 'fulminant hepatitis', np.float32(0.79077077))]"
['gliclazide'],['acute hepatitis'],"[('gliclazide', 'acute hepatitis', np.float32(0.7116435))]"
['bevacizumab'],['infectious endophthalmitis'],"[('bevacizumab', 'infectious endophthalmitis', np.float32(0.8617075))]"
['lamotrigine'],['encephalopathy'],"[('lamotrigine', 'encephalopathy', np.float32(0.82169604))]"
['calcium hydroxylapatite'],['urethral prolapse'],"[('calcium hydroxylapatite', 'urethral prolapse', np.float32(0.97564626))]"
['trimethoprim-sulfamethoxazole'],[],"[(None, None, None)]"
"['pyrilamine maleate', 'pentobarbital']",['toxic encephalopathy'],"[('pyrilamine maleate', 'toxic encephalopathy', np.float32(0.80121696)), ('pentobarbital', 'toxic encephalopathy', np.float32(0.79214865))]"
"['ciprofloxacin', 'piperacillin']",[],"[(None, None, None)]"
['cerivastatin'],[],"[(None, None, None)]"
