text,drug,effect,indexes
"we report a case of a patient with pulmonary hypertension and undifferentiated connective tissue disease who, after 2 months of treatment with epoprostenol, presented with rapidly progressive erythema, scaling, nausea and vomiting, and fever",epoprostenol,fever,"{'drug': {'start_char': array([143], dtype=int32), 'end_char': array([155], dtype=int32)}, 'effect': {'start_char': array([236], dtype=int32), 'end_char': array([241], dtype=int32)}}"
carbamazepine induced right bundle branch block in a greenlandic patient,carbamazepine,right bundle branch block,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([47], dtype=int32)}}"
"diagnosis: severe temozolomide-induced immunosuppression, exacerbated by corticosteroids, with profound t-cell lymphocytopenia and simultaneous opportunistic infections with pneumocystis jiroveci pneumonia, brain abscess with listeria monocytogenes, and cutaneous kaposi's sarcoma",temozolomide,brain abscess with listeria monocytogenes,"{'drug': {'start_char': array([18], dtype=int32), 'end_char': array([30], dtype=int32)}, 'effect': {'start_char': array([207], dtype=int32), 'end_char': array([248], dtype=int32)}}"
graves' hyperthyroidism following transient thyrotoxicosis during interferon therapy for chronic hepatitis type c,interferon,graves' hyperthyroidism,"{'drug': {'start_char': array([66], dtype=int32), 'end_char': array([76], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([23], dtype=int32)}}"
"the administration of ""sweet spirits of nitre"" (4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol) was followed by acute methemoglobinemia and severe anoxic metabolic acidosis in infant twins, methylene blue administration reversed methemoglobinemia in both, but one twin died from the consequences of hypoxemia",4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol,died,"{'drug': {'start_char': array([48], dtype=int32), 'end_char': array([95], dtype=int32)}, 'effect': {'start_char': array([270], dtype=int32), 'end_char': array([274], dtype=int32)}}"
"the patient was given methimazole instead of propylthiouracil but, 10 weeks later, agranulocytosis again occurred",methimazole,agranulocytosis,"{'drug': {'start_char': array([22], dtype=int32), 'end_char': array([33], dtype=int32)}, 'effect': {'start_char': array([83], dtype=int32), 'end_char': array([98], dtype=int32)}}"
"after an extensive review of the literature, we believe that this is the first communication of the successful use of amiodarone to control hyperthyroidism in a patient with ptu-induced fulminant hepatitis",ptu,fulminant hepatitis,"{'drug': {'start_char': array([174], dtype=int32), 'end_char': array([177], dtype=int32)}, 'effect': {'start_char': array([186], dtype=int32), 'end_char': array([205], dtype=int32)}}"
"the fetal valproate syndrome (fvs) is characterized by distinctive facial appearance, major and minor malformations, and developmental delay",valproate,fetal valproate syndrome,"{'drug': {'start_char': array([10], dtype=int32), 'end_char': array([19], dtype=int32)}, 'effect': {'start_char': array([4], dtype=int32), 'end_char': array([28], dtype=int32)}}"
"acute intravascular hemolysis developed when a diabetic patient, previously treated with glyburide, was started on another oral sulfonylurea drug, chlorpropamide",chlorpropamide,acute intravascular hemolysis,"{'drug': {'start_char': array([147], dtype=int32), 'end_char': array([161], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([29], dtype=int32)}}"
"we describe 2 male patients, a 49-year-old with psoriatic arthritis and impaired renal function and a 43-year-old renal transplant recipient, who both sustained a marked decline in glomerular filtration rate in conjunction with a selective inhibitor of cyclooxygenase-2 (cox-2), rofecoxib",rofecoxib,decline in glomerular filtration rate,"{'drug': {'start_char': array([279], dtype=int32), 'end_char': array([288], dtype=int32)}, 'effect': {'start_char': array([170], dtype=int32), 'end_char': array([207], dtype=int32)}}"
"to our knowledge, this is the first report of significant hypotension associated with intravenous valproate in the treatment of status epilepticus in the pediatric population",valproate,hypotension,"{'drug': {'start_char': array([98], dtype=int32), 'end_char': array([107], dtype=int32)}, 'effect': {'start_char': array([58], dtype=int32), 'end_char': array([69], dtype=int32)}}"
massive subfascial hematoma after alteplase therapy for acute myocardial infarction,alteplase,massive subfascial hematoma,"{'drug': {'start_char': array([34], dtype=int32), 'end_char': array([43], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([27], dtype=int32)}}"
"severe rash, including the stevens-johnson syndrome (sjs), is the major toxicity of nevirapine and is described in the package labeling with a prominent, boxed warning",nevirapine,stevens-johnson syndrome,"{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([94], dtype=int32)}, 'effect': {'start_char': array([27], dtype=int32), 'end_char': array([51], dtype=int32)}}"
"conclusions: these results suggest that clozapine may cause td; however, the prevalence is low and the severity is relatively mild, with no or mild self-reported discomfort",clozapine,td,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([49], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([62], dtype=int32)}}"
troglitazone-induced fulminant hepatic failure,troglitazone,fulminant hepatic failure,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([12], dtype=int32)}, 'effect': {'start_char': array([21], dtype=int32), 'end_char': array([46], dtype=int32)}}"
"behavioral side effects associated with clonazepam may include agitation, aggression, hyperactivity, irritability, property destruction, and temper tantrums",clonazepam,property destruction,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([50], dtype=int32)}, 'effect': {'start_char': array([115], dtype=int32), 'end_char': array([135], dtype=int32)}}"
marked hyperkalemia was observed during and immediately after an infusion of arginine monohydrochloride in two patients with severe hepatic disease and moderate renal insufficiency,arginine monohydrochloride,marked hyperkalemia,"{'drug': {'start_char': array([77], dtype=int32), 'end_char': array([103], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([19], dtype=int32)}}"
the hiv protease inhibitor indinavir may cause nephrolithiasis and interstitial nephritis,indinavir,nephrolithiasis,"{'drug': {'start_char': array([27], dtype=int32), 'end_char': array([36], dtype=int32)}, 'effect': {'start_char': array([47], dtype=int32), 'end_char': array([62], dtype=int32)}}"
the patient suffered a life-threatening anaphylactoid reaction to amifostine,amifostine,life-threatening anaphylactoid reaction,"{'drug': {'start_char': array([66], dtype=int32), 'end_char': array([76], dtype=int32)}, 'effect': {'start_char': array([23], dtype=int32), 'end_char': array([62], dtype=int32)}}"
to our knowledge this is the first report that demonstrates histological abnormalities of the glomerulus associated with postoperative ifn-beta therapy for the malignant melanoma,ifn-beta,histological abnormalities of the glomerulus,"{'drug': {'start_char': array([135], dtype=int32), 'end_char': array([143], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([104], dtype=int32)}}"
conclusions: sustained-release verapamil is thought to be the cause of the asthma attack in this patient because she was not taking any other preparations; the symptoms started with the administration of sustained-release verapamil and were relieved after its discontinuation,verapamil,asthma attack,"{'drug': {'start_char': array([ 31, 222], dtype=int32), 'end_char': array([ 40, 231], dtype=int32)}, 'effect': {'start_char': array([75], dtype=int32), 'end_char': array([88], dtype=int32)}}"
"objective: to report a case of serotonin syndrome associated with interaction between fentanyl and citalopram, as evidenced by medication history, clinical features and reversal following discontinuation of fentanyl",citalopram,serotonin syndrome,"{'drug': {'start_char': array([99], dtype=int32), 'end_char': array([109], dtype=int32)}, 'effect': {'start_char': array([31], dtype=int32), 'end_char': array([49], dtype=int32)}}"
"in case 1, a total daily dose of 25 mg sertraline, with nondetectable sertraline and desmethylsertraline blood levels, resulted in a doubling of the lamotrigine blood level with symptoms of toxicity",lamotrigine,doubling of the lamotrigine blood level,"{'drug': {'start_char': array([149], dtype=int32), 'end_char': array([160], dtype=int32)}, 'effect': {'start_char': array([133], dtype=int32), 'end_char': array([172], dtype=int32)}}"
objective: to report a case of possible foscarnet-induced severe hypomagnesemia and other electrolyte disorders,foscarnet,electrolyte disorders,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([49], dtype=int32)}, 'effect': {'start_char': array([90], dtype=int32), 'end_char': array([111], dtype=int32)}}"
the case of a 29-year-old man suffering from falciparum malaria disease who got a reversible hearing loss from quinine therapy is presented,quinine,reversible hearing loss,"{'drug': {'start_char': array([111], dtype=int32), 'end_char': array([118], dtype=int32)}, 'effect': {'start_char': array([82], dtype=int32), 'end_char': array([105], dtype=int32)}}"
a complex pattern of melanonychia and onycholysis after treatment with pemetrexed for lung cancer,pemetrexed,melanonychia,"{'drug': {'start_char': array([71], dtype=int32), 'end_char': array([81], dtype=int32)}, 'effect': {'start_char': array([21], dtype=int32), 'end_char': array([33], dtype=int32)}}"
the incidence of 5-fluorouracil (5-fu)-related cardiotoxicity seems to be dosage and schedule dependent,5-fu,cardiotoxicity,"{'drug': {'start_char': array([33], dtype=int32), 'end_char': array([37], dtype=int32)}, 'effect': {'start_char': array([47], dtype=int32), 'end_char': array([61], dtype=int32)}}"
prolongation of the qt interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy,amiodarone,prolongation of the qt interval,"{'drug': {'start_char': array([98], dtype=int32), 'end_char': array([108], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([31], dtype=int32)}}"
we describe two cases that illustrate the use of lithium in the treatment of veterans with ptsd who complained of serious problems with irritability or angry outbursts,lithium,irritability,"{'drug': {'start_char': array([49], dtype=int32), 'end_char': array([56], dtype=int32)}, 'effect': {'start_char': array([136], dtype=int32), 'end_char': array([148], dtype=int32)}}"
"this case presentation is of a patient who had the clinical appearance of epiglottitis, but actually had an oro-pharyngeal dystonic reaction to prochlorperazine",prochlorperazine,oro-pharyngeal dystonic reaction,"{'drug': {'start_char': array([144], dtype=int32), 'end_char': array([160], dtype=int32)}, 'effect': {'start_char': array([108], dtype=int32), 'end_char': array([140], dtype=int32)}}"
we report marked qt prolongation and torsades de pointes in a setting of flash pulmonary edema resulting from acute myocardial ischemia in a patient who was being treated with dofetilide for atrial fibrillation,dofetilide,flash pulmonary edema,"{'drug': {'start_char': array([176], dtype=int32), 'end_char': array([186], dtype=int32)}, 'effect': {'start_char': array([73], dtype=int32), 'end_char': array([94], dtype=int32)}}"
tegaserod-associated ischemic colitis,tegaserod,ischemic colitis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([21], dtype=int32), 'end_char': array([37], dtype=int32)}}"
a retrospective study was conducted of 40 loperamide poisoning cases recorded at the centre national d'informations toxicologiques veterinaires,loperamide,loperamide poisoning,"{'drug': {'start_char': array([42], dtype=int32), 'end_char': array([52], dtype=int32)}, 'effect': {'start_char': array([42], dtype=int32), 'end_char': array([62], dtype=int32)}}"
"in this report, a patient who had undergone a renal transplantation as a result of malignant hypertension, and who was on immunosuppressive therapy consisting of cyclosporin, prednisone and azathioprine, developed thrombosis of the central retinal vein 5 years following the transplantation",azathioprine,thrombosis,"{'drug': {'start_char': array([190], dtype=int32), 'end_char': array([202], dtype=int32)}, 'effect': {'start_char': array([214], dtype=int32), 'end_char': array([224], dtype=int32)}}"
severe autoimmune hemolytic anemia following rituximab therapy in a patient with a lymphoproliferative disorder,rituximab,autoimmune hemolytic anemia,"{'drug': {'start_char': array([45], dtype=int32), 'end_char': array([54], dtype=int32)}, 'effect': {'start_char': array([7], dtype=int32), 'end_char': array([34], dtype=int32)}}"
the use of cyclosporin has been associated with the development of cholelithiasis in transplant recipients,cyclosporin,cholelithiasis,"{'drug': {'start_char': array([11], dtype=int32), 'end_char': array([22], dtype=int32)}, 'effect': {'start_char': array([67], dtype=int32), 'end_char': array([81], dtype=int32)}}"
we report a case of ibuprofen-induced meningitis in an otherwise healthy individual,ibuprofen,meningitis,"{'drug': {'start_char': array([20], dtype=int32), 'end_char': array([29], dtype=int32)}, 'effect': {'start_char': array([38], dtype=int32), 'end_char': array([48], dtype=int32)}}"
ciprofloxacin-induced hemorrhagic vasculitis,ciprofloxacin,hemorrhagic vasculitis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([44], dtype=int32)}}"
a 72-year-old woman with a history of thyrotoxicosis presented with sore throat and fever two weeks after starting carbimazole,carbimazole,fever,"{'drug': {'start_char': array([115], dtype=int32), 'end_char': array([126], dtype=int32)}, 'effect': {'start_char': array([84], dtype=int32), 'end_char': array([89], dtype=int32)}}"
"the latter form (macrodantin) is reported to engender less gastrointestinal intolerance but it can produce the same adverse effects as the conventional form--liver damage, acute and chronic pulmonary reactions, peripheral neuropathy, blood dyscrasias and allergic reactions--and does so just as rapidly and floridly; one such case is reported here",macrodantin,acute and chronic pulmonary reactions,"{'drug': {'start_char': array([17], dtype=int32), 'end_char': array([28], dtype=int32)}, 'effect': {'start_char': array([172], dtype=int32), 'end_char': array([209], dtype=int32)}}"
"conclusion: the new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia",grepafloxacin,headache,"{'drug': {'start_char': array([71], dtype=int32), 'end_char': array([84], dtype=int32)}, 'effect': {'start_char': array([261], dtype=int32), 'end_char': array([269], dtype=int32)}}"
"rifampin (rfp) increases hepatic microsomal enzyme activity, and there are case reports of rfp-induced hypothyroidism, all associated with hashimoto's thyroiditis",rfp,hashimoto's thyroiditis,"{'drug': {'start_char': array([10, 91], dtype=int32), 'end_char': array([13, 94], dtype=int32)}, 'effect': {'start_char': array([139], dtype=int32), 'end_char': array([162], dtype=int32)}}"
we report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with danaparoid (orgaran,heparin,thrombocytopenia,"{'drug': {'start_char': array([38], dtype=int32), 'end_char': array([45], dtype=int32)}, 'effect': {'start_char': array([54], dtype=int32), 'end_char': array([70], dtype=int32)}}"
"there are major side effects of anastrozole including decrease in both lumbar spine and total hip bone mineral density, increase in the incidence of all bone fractures (especially fractures of spine, hip and wrist), joint disorders and increase in the cholesterol level",anastrozole,increase in the incidence of all bone fractures,"{'drug': {'start_char': array([32], dtype=int32), 'end_char': array([43], dtype=int32)}, 'effect': {'start_char': array([120], dtype=int32), 'end_char': array([167], dtype=int32)}}"
cessation of d-pen and the start of corticosteroid therapy were followed by recovery from bicytopenia,d-pen,bicytopenia,"{'drug': {'start_char': array([13], dtype=int32), 'end_char': array([18], dtype=int32)}, 'effect': {'start_char': array([90], dtype=int32), 'end_char': array([101], dtype=int32)}}"
"one of these was clofazimine, an aniline aposafranine derivative known to produce a ceroid-like pigment in the tissues of patients treated with this drug or lepromatous leprosy",clofazimine,ceroid-like pigment,"{'drug': {'start_char': array([17], dtype=int32), 'end_char': array([28], dtype=int32)}, 'effect': {'start_char': array([84], dtype=int32), 'end_char': array([103], dtype=int32)}}"
"one explanation for the noted increase in the theophylline level is that metabolism occurs mainly by cytochrome p450 (cyp 1a2), an enzyme that is known to be inhibited with high concentrations of zafirlukast",theophylline,increase in the theophylline level,"{'drug': {'start_char': array([46], dtype=int32), 'end_char': array([58], dtype=int32)}, 'effect': {'start_char': array([30], dtype=int32), 'end_char': array([64], dtype=int32)}}"
"ten days after itraconazole was started, he developed paralytic ileus, neurogenic bladder, mild left ptosis, and absence of deep reflexes, with severe paralysis of the lower extremities and mild weakness of the upper extremities",itraconazole,mild weakness of the upper extremities,"{'drug': {'start_char': array([15], dtype=int32), 'end_char': array([27], dtype=int32)}, 'effect': {'start_char': array([190], dtype=int32), 'end_char': array([228], dtype=int32)}}"
muscle biopsy revealed variation in muscle fiber size and few vacuolated fibers which were features of colchicine-induced myopathy,colchicine,variation in muscle fiber size,"{'drug': {'start_char': array([103], dtype=int32), 'end_char': array([113], dtype=int32)}, 'effect': {'start_char': array([23], dtype=int32), 'end_char': array([53], dtype=int32)}}"
"an association of granulocytopenia, eosinophilia, skin reaction and hepatitis during propylthiouracil (ptu) therapy for thyrotoxicosis in a 47 year old black female is reported",propylthiouracil,granulocytopenia,"{'drug': {'start_char': array([85], dtype=int32), 'end_char': array([101], dtype=int32)}, 'effect': {'start_char': array([18], dtype=int32), 'end_char': array([34], dtype=int32)}}"
fluoxetine-induced akathisia: clinical and theoretical implications,fluoxetine,akathisia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}, 'effect': {'start_char': array([19], dtype=int32), 'end_char': array([28], dtype=int32)}}"
"conclusions: this report indicates clindamycin phosphate vaginal cream as the most probable cause of cdic due to the temporal relationship between the occurrence of diarrhea and clindamycin administration, lack of concomitant medications, and documentation of c. difficile toxin",clindamycin phosphate,diarrhea,"{'drug': {'start_char': array([35], dtype=int32), 'end_char': array([56], dtype=int32)}, 'effect': {'start_char': array([165], dtype=int32), 'end_char': array([173], dtype=int32)}}"
"a high dose of cotrimoxazole induced hyperkalaemia with the elevation of serum creatinine and blood urea, and increased urinary n-acetyl glucosaminase after several days of the drug administration in these patients; one patient became unconscious",cotrimoxazole,elevation of serum creatinine and blood urea,"{'drug': {'start_char': array([15], dtype=int32), 'end_char': array([28], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([104], dtype=int32)}}"
hypernatraemia induced by sodium polystyrene sulphonate (kayexalate) in two extremely low birth weight newborns,kayexalate,hypernatraemia,"{'drug': {'start_char': array([57], dtype=int32), 'end_char': array([67], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([14], dtype=int32)}}"
"three patients, in whom tumour overkill by cytotoxic treatment, including high dose methotrexate with folinic acid rescue, resulted in the 'phosphate shower syndrome' (hyper-uricaemia, hyperkalaemia and hyperphosphataemia with hypocalcaemia and tetany, with metabolic acidosis and acute renal impairment) are described",folinic acid,hyperphosphataemia,"{'drug': {'start_char': array([102], dtype=int32), 'end_char': array([114], dtype=int32)}, 'effect': {'start_char': array([203], dtype=int32), 'end_char': array([221], dtype=int32)}}"
spindle coma in benzodiazepine toxicity: case report,benzodiazepine,spindle coma,"{'drug': {'start_char': array([16], dtype=int32), 'end_char': array([30], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([12], dtype=int32)}}"
patient a reported right leg weakness (foot drop) during week 4 of cap-xrt (1600 mg/m2,cap-xrt,foot drop,"{'drug': {'start_char': array([67], dtype=int32), 'end_char': array([74], dtype=int32)}, 'effect': {'start_char': array([39], dtype=int32), 'end_char': array([48], dtype=int32)}}"
"however, peripheral neuropathy and bone marrow depression led to linezolid withdrawal in seven patients, and neuropathy may not be fully reversible in all patients",linezolid,bone marrow depression,"{'drug': {'start_char': array([65], dtype=int32), 'end_char': array([74], dtype=int32)}, 'effect': {'start_char': array([35], dtype=int32), 'end_char': array([57], dtype=int32)}}"
"to our knowledge, four cases of interstitial pneumonitis associated with fludarabine have been reported in medical literature",fludarabine,interstitial pneumonitis,"{'drug': {'start_char': array([73], dtype=int32), 'end_char': array([84], dtype=int32)}, 'effect': {'start_char': array([32], dtype=int32), 'end_char': array([56], dtype=int32)}}"
when tuberculosis patients on isoniazid eat certain varieties of fish they may develop a histamine reaction,isoniazid,histamine reaction,"{'drug': {'start_char': array([30], dtype=int32), 'end_char': array([39], dtype=int32)}, 'effect': {'start_char': array([89], dtype=int32), 'end_char': array([107], dtype=int32)}}"
"vancomycin is widely used against methicillin-resistant staphylococcus aureus infections, but it is associated with many adverse effects such as nephrotoxicity, ototoxicity, gastrointestinal disturbances, blood disorders, and two types of hypersensitivity reactions - an anaphylactoid reaction known as ""red man syndrome"" and anaphylaxis",vancomycin,ototoxicity,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}, 'effect': {'start_char': array([161], dtype=int32), 'end_char': array([172], dtype=int32)}}"
a case of acute subdural haematoma originating spontaneously from an angiomatous meningioma in a patient receiving prophylactic aspirin therapy is presented,aspirin,acute subdural haematoma,"{'drug': {'start_char': array([128], dtype=int32), 'end_char': array([135], dtype=int32)}, 'effect': {'start_char': array([10], dtype=int32), 'end_char': array([34], dtype=int32)}}"
one patient developed severe hyponatremia with serum na+ of 108 meq/l when hydrochlorothiazide was given to control hypertension,hydrochlorothiazide,severe hyponatremia,"{'drug': {'start_char': array([75], dtype=int32), 'end_char': array([94], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([41], dtype=int32)}}"
cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole,trimethoprim-sulfamethoxazole,vanishing bile duct syndrome,"{'drug': {'start_char': array([113], dtype=int32), 'end_char': array([142], dtype=int32)}, 'effect': {'start_char': array([43], dtype=int32), 'end_char': array([71], dtype=int32)}}"
we report a case of senna-induced cholestatic hepatitis which was not diagnosed at presentation,senna,cholestatic hepatitis,"{'drug': {'start_char': array([20], dtype=int32), 'end_char': array([25], dtype=int32)}, 'effect': {'start_char': array([34], dtype=int32), 'end_char': array([55], dtype=int32)}}"
acute renal failure during lisinopril and losartan therapy for proteinuria,lisinopril,acute renal failure,"{'drug': {'start_char': array([27], dtype=int32), 'end_char': array([37], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([19], dtype=int32)}}"
nonconvulsive status epilepticus: the role of morphine and its antagonist,morphine,nonconvulsive status epilepticus,"{'drug': {'start_char': array([46], dtype=int32), 'end_char': array([54], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([32], dtype=int32)}}"
autopsy evidence of herpesvirus infection was found in visceral organs of four leukemic patients who had received large doses of cytarabine (cytosine arabinoside; ara-c) shortly before their death,cytarabine,herpesvirus infection,"{'drug': {'start_char': array([129], dtype=int32), 'end_char': array([139], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([41], dtype=int32)}}"
withdrawal emergent syndrome in an infant associated with maternal haloperidol therapy,haloperidol,withdrawal emergent syndrome,"{'drug': {'start_char': array([67], dtype=int32), 'end_char': array([78], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([28], dtype=int32)}}"
"our cases constitute the most severe cases of benzarone hepatotoxicity reported so far, and comprise the first cases of (sub)fulminant hepatitis and cirrhosis related to benzarone",benzarone,sub)fulminant hepatitis,"{'drug': {'start_char': array([ 46, 170], dtype=int32), 'end_char': array([ 55, 179], dtype=int32)}, 'effect': {'start_char': array([], dtype=int32), 'end_char': array([], dtype=int32)}}"
"we report on a patient who developed hypersensitivity pneumonitis during treatment with the beta-blocker, celiprolol",celiprolol,hypersensitivity pneumonitis,"{'drug': {'start_char': array([106], dtype=int32), 'end_char': array([116], dtype=int32)}, 'effect': {'start_char': array([37], dtype=int32), 'end_char': array([65], dtype=int32)}}"
"hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause hypoglycemia, such as sulfonylureas, meglitinides, and insulin",etanercept,hypoglycemia,"{'drug': {'start_char': array([45], dtype=int32), 'end_char': array([55], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([12], dtype=int32)}}"
"a dapsone hypersensitivity syndrome, consisting of fever, headache, nausea, vomiting, lymphadenopathy, hepatitis, hemolysis, leukopenia, and mononucleosis, has been described in patients treated with the drug for leprosy",dapsone,leukopenia,"{'drug': {'start_char': array([2], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([125], dtype=int32), 'end_char': array([135], dtype=int32)}}"
visual hallucinations after intravitreal injection of bevacizumab in vascular age-related macular degeneration,bevacizumab,visual hallucinations,"{'drug': {'start_char': array([54], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([21], dtype=int32)}}"
"we report a 5-year-old boy with cf who had a stricture of the hepatic flexure region with associated narrowing due to submucosal fibrosis of the transverse colon, secondary to high-lipase pancreatin therapy",high-lipase pancreatin,submucosal fibrosis of the transverse colon,"{'drug': {'start_char': array([176], dtype=int32), 'end_char': array([198], dtype=int32)}, 'effect': {'start_char': array([118], dtype=int32), 'end_char': array([161], dtype=int32)}}"
"we report a case of generalized cutaneous sclerosis associated with muscle and oesophageal involvement in a patient exposed to herbicides containing bromocil, diuron and aminotriazole",bromocil,generalized cutaneous sclerosis,"{'drug': {'start_char': array([149], dtype=int32), 'end_char': array([157], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([51], dtype=int32)}}"
autoimmune thyroid disease is a common side-effect of interferon-alpha (ifn-alpha) treatment of viral hepatitis c,interferon-alpha,autoimmune thyroid disease,"{'drug': {'start_char': array([54], dtype=int32), 'end_char': array([70], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([26], dtype=int32)}}"
